"p3","ingocup","se","cv"
8121,8071.43031524508,417.960520372152,0.0517827081505889
8122,7512.50640495184,290.372215865499,0.0386518427024702
8123,8186.22643483824,168.538859282114,0.0205881013216127
8131,7414.98038843069,430.768171002166,0.058094310225591
8132,8872.12677735206,2398.09599151845,0.270295505429441
8133,7033.58767687884,102.545622494837,0.0145794190967335
8134,8638.76279069767,758.118038485254,0.087757709854194
8135,15235.482766003,2391.41672071291,0.156963632688371
8141,7536.97887172887,613.028058785314,0.0813360458107129
8142,6773.72705177023,840.842715772758,0.124132949164672
8143,6926.58799235653,376.924084534929,0.0544169921685631
8144,7348.56436396835,727.328567964639,0.0989756001227795
8145,6948.7729208883,387.535876680014,0.0557704045148842
8151,6414.03618687551,323.447368599154,0.0504280548433756
8152,6254.95259995094,369.511966464833,0.0590751025783522
8153,5953.66790224177,125.309378115111,0.0210474249106048
8154,7452.3575021642,162.106472798822,0.0217523747017968
8155,5978.20124836404,227.369111601564,0.038033030698621
8161,7104.6792693165,290.254161730661,0.0408539429758924
8162,6033.02919708029,482.078873251802,0.0799066037149474
8163,6558.84008797509,251.247389416658,0.0383066801517683
8171,7500.2347107438,639.203769041887,0.0852245021247472
8172,7881.742040559,606.922593675016,0.0770036104393961
8173,7023.31212266411,417.241756522411,0.0594081181692009
8181,16785.2004058853,2065.85727654539,0.123076116256619
8199,9079.4015128593,1213.11800886432,0.133612111673458
8201,9524.38359139584,282.062686340584,0.0296147969717846
8211,6918.26517627561,83.5766982476719,0.0120805861177852
8212,6485.10858348618,64.7261460062674,0.00998073435055312
8301,10812.8243065967,1255.11495204048,0.116076514003354
8311,8408.62592810843,800.890747623161,0.0952463285286525
8321,17849.0992366412,3281.92542356051,0.18387064691888
8322,11614.0739111307,1191.9407364739,0.10262899526854
8323,30843.0081300813,8072.4944110593,0.261728505112514
8324,11810.1937804595,3275.72318872434,0.277364050888324
8331,11556.3846677251,2009.70083272911,0.173903940593276
8341,9668.85189183005,194.871953180819,0.0201546114637955
8342,8222.44072843605,143.085814889844,0.0174018663819617
8343,7622.1425734494,476.4867660487,0.0625134942645222
8344,6480.57388503403,179.825333645584,0.0277483656286776
8349,3607.4812967581,514.471511998379,0.142612385117759
8351,10976.5658891013,545.796050254133,0.0497237529267742
8352,8445.11776598295,199.167751190384,0.0235837742834842
8999,7015.43628336343,190.725815734315,0.0271865936815087
9111,4171.00492826594,73.3831314086163,0.017593633349919
9112,4531.77217808761,192.963270990134,0.0425800908358027
9113,4755.1994023204,500.232823653274,0.105197023579952
9121,5179.98225287972,275.23201422868,0.0531337755212712
9122,4545.17653407339,443.631355585481,0.0976048679869202
9123,13000,0,0
9124,2987.80568893528,604.938353485437,0.202469108257509
9211,11679.5079248065,1609.26747515067,0.137785554452401
9212,10651.9225416381,1371.23299127575,0.128731032911254
9221,5821.42786096472,62.5164564937089,0.0107390245119947
9222,5374.08349045004,400.736181941827,0.0745682836252826
9231,6110.06429300174,141.677818733649,0.0231876150461988
9232,6850.22139576006,298.149637245638,0.0435240877660068
9233,5657.78853013316,251.660995476207,0.0444804527662833
9234,5611.9827861177,199.015254986292,0.0354625562071563
9235,5209.48943728893,310.284287237688,0.0595613621973601
9236,5180.15718878938,125.266098655591,0.0241819107201389
9237,5875.55054113533,339.453845803629,0.0577739640612532
9239,7156.97604790419,658.964586075475,0.0920730461670949
9311,6469.95769105595,652.590762128305,0.100864765009274
9312,11890.4347826087,2159.11891393845,0.18158452179532
9321,4077.26948051948,579.110116763957,0.142033809521507
9322,7117.60317460317,1103.88709518381,0.155092531587413
